epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.7413018941879272,0.5243170261383057,0.000100000005,0.7594456672668457,0.4197774827480316
1,0.7411881685256958,0.5229842662811279,0.000100000005,0.7272476553916931,0.4188511073589325
2,0.7451907396316528,0.5215471386909485,0.000100000005,0.7289023995399475,0.41388216614723206
3,0.7429360151290894,0.5151470899581909,0.000100000005,0.761789858341217,0.4126617908477783
4,0.7433601021766663,0.529045045375824,0.000100000005,0.7285576462745667,0.41762351989746094
5,0.7440840601921082,0.5252467393875122,0.000100000005,0.766960859298706,0.4108753800392151
6,0.7441461086273193,0.5160364508628845,0.000100000005,0.7615830302238464,0.4139438271522522
7,0.745583713054657,0.5044118762016296,0.000100000005,0.7668229341506958,0.41233518719673157
8,0.7479418516159058,0.5212817788124084,0.000100000005,0.7294539213180542,0.4128704369068146
9,0.7431532144546509,0.5153264999389648,0.000100000005,0.7625482678413391,0.4079335927963257
10,0.7469282746315002,0.5045344829559326,0.000100000005,0.7307639122009277,0.4102261960506439
0,0.7331519722938538,0.5933384895324707,0.001,0.7333838939666748,0.6449422836303711
1,0.7352101802825928,0.5584017634391785,0.001,0.7491037249565125,0.5149105787277222
2,0.7397298812866211,0.5381612181663513,0.001,0.7282128930091858,0.5670360326766968
3,0.7400194406509399,0.5278012752532959,0.001,0.7675123810768127,0.4229482114315033
4,0.7414674162864685,0.5341482162475586,0.001,0.7276613116264343,0.4406983554363251
5,0.7434014678001404,0.5095040798187256,0.001,0.7662713527679443,0.47229820489883423
6,0.7413433194160461,0.52106112241745,0.001,0.7686155438423157,0.4836776852607727
7,0.741219162940979,0.5235247015953064,0.001,0.7640650868415833,0.5517777800559998
8,0.7430704832077026,0.5100085735321045,0.001,0.7702702879905701,0.4083007872104645
9,0.7438668608665466,0.5135071873664856,0.001,0.7562052011489868,0.467174232006073
10,0.7449218034744263,0.5048968195915222,0.001,0.7475179433822632,0.41483092308044434
11,0.744073748588562,0.5124574899673462,0.001,0.7722007632255554,0.5089464783668518
12,0.7459767460823059,0.5158430933952332,0.001,0.7380033135414124,0.4384177625179291
13,0.7440840601921082,0.5069400072097778,0.001,0.7773717641830444,0.40903738141059875
14,0.7536612749099731,0.4235316514968872,0.000100000005,0.7427605986595154,0.41061776876449585
